image_path,prompt,note
/combined_first_frames/8_combined.png,"The video begins with a wide shot of a cherry blossom-lined street, petals gently floating through the air as sunlight filters between the trees. Three iconic anime characters walk side by side from the distance toward the camera. On the far left, Naruto Uzumaki in an orange jumpsuit walks confidently with arms folded; next to him, Monkey D. Luffy wearing a red open shirt, blue shorts, and a straw hat smiles energetically, waving with one hand while a cheerful yellow creature, Pikachu, sits on his shoulder, flicking its tail with sparks of playful energy. To their right, Goku with spiky black hair and a cheerful expression, wearing an orange martial arts gi with a blue undershirt, belt, wristbands, and boots.  As they move closer, the camera slowly pans upward, capturing their friendly gestures and animated expressions under the falling petals. The motion and color transitions highlight a sense of camaraderie and lighthearted adventure against the serene spring backdrop.",
/combined_first_frames/18_combined.png,"The video begins with a wide shot of a cherry blossom-lined street, petals gently floating through the air as sunlight filters between the trees. Five iconic anime characters walk side by side from the distance toward the camera. On the far left, Naruto Uzumaki in an orange jumpsuit walks confidently with arms folded. Next to Naruto Uzumaki, Monkey D. Luffy wearing a red open shirt, blue shorts, and a straw hat smiles energetically, waving with one hand while a cheerful yellow creature, Pikachu, sits on his shoulder, flicking its tail with sparks of playful energy. To the right of Monkey D. Luffy, Goku with spiky black hair and a cheerful expression, wearing an orange martial arts gi with a blue undershirt, belt, wristbands, and boots. To the right of Goku,  Mario with a red cap featuring the letter “M,” a matching red shirt, blue overalls with yellow buttons, white gloves, and brown shoes, is clapping while walking.  As they move closer, the camera slowly pans upward, capturing their friendly gestures and animated expressions under the falling petals. The motion and color transitions highlight a sense of camaraderie and lighthearted adventure against the serene spring backdrop.",
/combined_first_frames/24_combined.png,"A man wearing a red T-shirt layered over a long-sleeve purple shirt gently and slowly hands over a graphics card labeled \""RTX 5090\"" to another man dressed in dark blue long-sleeved shirt and black pants. The man dressed in dark blue long-sleeved shirt and black pants looks at the graphics card labeled \""RTX 5090\"" with mild curiosity and intrigue.",
/combined_first_frames/22_combined.png,"The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. The car travels rapidly along a multi-lane highway under clear daylight. Ahead, an **ambulance with flashing red and blue emergency lights** speeds in the same direction, its sirens faintly audible through the car’s cabin. The autonomous system precisely maintains its lane while adjusting speed automatically in response to the ambulance ahead. A modern fighter jet aircraft, F-22 Raptor, is flying over in the sky.",
/combined_first_frames/21_combined.png,"The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. The car travels rapidly along a multi-lane highway under clear daylight. Ahead, an **ambulance with flashing red and blue emergency lights** speeds in the same direction, its sirens faintly audible through the car’s cabin. The autonomous system precisely maintains its lane while adjusting speed automatically in response to the ambulance ahead.",
/combined_first_frames/27_combined.png,"The video begins from a first-person view inside an autonomous car speeding along a multi-lane same-direction highway. There are three vehicles driving in the same direction. Ahead, an ambulance with flashing red and blue lights leads the flow of traffic. A red Ferrari convertible sports car accelerates rapidly in the leftmost lane. On the left of the red Ferrari convertible sports car, a gas tanker truck has a large cylindrical metal tank mounted on the back, driving slowly on the road.",
/combined_first_frames/42_combined.png,"Film-quality, studio-lit scene in a robotics lab environment. The young man, wearing a light blue button-up shirt, sits confidently at his workspace surrounded by robotics hardware, simulation software, and coding monitors. He uses his **left hand to prominently showcase a sleek black Apple iPhone**, its reflective surface and dual-camera module catching subtle light highlights. With his **right hand, he presents a mixed reality headset**, its curved visor and intricate strap details gleaming under the lab’s warm illumination.",
/combined_first_frames/7_combined.png,A man wearing a short-sleeved shirt gently hands over a toy rocket to another man dressed in a black blazer over a dark graphic T-shirt. The man dressed in a black blazer looks at the rocket with mild curiosity and intrigue.,
/combined_first_frames/30_combined.png,"The young man, dressed in a dark sweater layered over a collared shirt and a red-and-gold striped tie, sits at a long wooden table with an open book in front of him. He raises his left hand to clearly demonstrate a sleek black Apple iPhone, showcasing its dual-camera design and reflective surface under the warm indoor light. In his right hand, he presents a futuristic mixed-reality headset with a curved glossy visor and soft fabric strap, angled to emphasize its modern design and immersive capability. The camera focuses closely on the contrast between the classic academic setting and the cutting-edge technology, capturing the subtle expressions on his face as he explains and interacts with both devices in detail.",
/combined_first_frames/31_combined.png,"The video begins with a wide shot of three young individuals standing side by side in front of an aged stone corridor. Each of them is dressed in dark robes with red-and-gold accents, creating a cohesive visual identity. The young man on the left, with short dark hair and round glasses, raises his left hand to present a sleek black Apple iPhone—its reflective dual cameras glint under natural light, highlighting precision engineering. The woman in the center, her light brown hair tied loosely, holds a mixed reality headset with both hands, turning it slightly to show its curved glass visor and fabric headband as light passes across its surface. The young man on the right, with medium-length hair, places a silver MacBook on the moss-covered stone ledge, opening it partway to reveal its metallic sheen and engraved logo.",
/combined_first_frames/56_combined.png,"The right robotic hand holds a transparent glass bottle partially filled with yellow liquid resembling juice. The camera focuses on the intricate mechanical joints as the right robotic hand tilts the bottle with fine motor control, pouring the liquid smoothly into the red mug on the small table without spilling.",
/combined_first_frames/15_max.png,"Professional-quality video with rich details. The video features a charming Teddy Bear sipping apple juice from a bottle using its hand, while delicately holds a vibrant red rose using its hand, admiring its beauty, perhaps as an offering or a gesture of affection.",
/combined_first_frames/inter_tank_2.png,"Professional-quality video with rich details.  In the background, a green military tank with visible treads and a white star insignia moves slowly from left to right across the road behind the stop sign. The tank’s treads rotate smoothly, kicking up light dust as it passes, while the sunlight reflects subtly off its metal surface. Power lines, trees, and parked cars frame the street, giving a sense of scale and normalcy contrasted with the imposing motion of the armored vehicle. The camera remains steady as the tank continues its traversal, maintaining the stop sign prominently in the foreground.",
/combined_first_frames/combined_4.png,"A high-angle, third-person aerial tracking shot follows a silver Tesla Cybertruck as it drives along a winding, S-curved asphalt road through a dense, green forest. Flying in perfect formation directly above the vehicle is a person wearing a blue and black wingsuit. The camera maintains its high vantage point, capturing both the Cybertruck navigating the curves of the road below and the wingsuit flyer mirroring its exact path in the air.",
